Részvény: AAA

Dátum	Nyitó	Záró	Minimum	Maximum	Forgalom (db)
2007-09-25	501.0000	501.0000	501.0000	501.0000	0
2007-09-26	490.0000	508.0000	485.0000	513.0000	638230
2007-09-27	513.0000	504.0000	499.0000	514.0000	317045
2007-09-28	508.0000	508.0000	505.0000	513.0000	137417
2007-10-01	512.0000	508.0000	505.0000	520.0000	348357
2007-10-02	510.0000	507.0000	505.0000	513.0000	209760
2007-10-03	510.0000	504.0000	504.0000	510.0000	31451
2007-10-04	503.0000	507.0000	503.0000	510.0000	19420
2007-10-05	505.0000	510.0000	505.0000	510.0000	22640
2007-10-08	511.0000	509.0000	503.0000	511.0000	23295
2007-10-09	505.0000	504.0000	498.0000	505.0000	104550
2007-10-10	505.0000	499.0000	496.0000	505.0000	56045
2007-10-11	500.0000	500.0000	491.0000	500.0000	16983
2007-10-12	499.0000	499.0000	496.0000	500.0000	3814
2007-10-15	500.0000	495.0000	495.0000	502.0000	22212
2007-10-16	502.0000	505.0000	498.0000	505.0000	65536
2007-10-17	505.0000	501.0000	499.0000	509.0000	52154
2007-10-18	500.0000	499.0000	499.0000	503.0000	29368
2007-10-19	501.0000	496.0000	496.0000	503.0000	16167
2007-10-24	497.0000	494.0000	494.0000	499.0000	9040
2007-10-25	498.0000	490.0000	490.0000	498.0000	15472
2007-10-26	493.0000	496.0000	488.0000	496.0000	31830
2007-10-29	496.0000	495.0000	495.0000	498.0000	10833
2007-10-30	495.0000	492.0000	480.0000	497.0000	28551
2007-10-31	492.0000	490.0000	490.0000	492.0000	1580
2007-11-05	486.0000	481.0000	481.0000	486.0000	3540
2007-11-06	489.0000	490.0000	480.0000	490.0000	10834
2007-11-07	485.0000	485.0000	470.0000	489.0000	28686
2007-11-08	476.0000	489.0000	475.0000	489.0000	28016
2007-11-09	478.0000	480.0000	473.0000	484.0000	7965
2007-11-12	480.0000	473.0000	470.0000	480.0000	8715
2007-11-13	474.0000	473.0000	465.0000	474.0000	25345
2007-11-14	470.0000	471.0000	469.0000	475.0000	4890
2007-11-15	465.0000	470.0000	462.0000	474.0000	35450
2007-11-16	468.0000	452.0000	450.0000	468.0000	34425
2007-11-19	453.0000	447.0000	447.0000	457.0000	24081
2007-11-20	450.0000	449.0000	440.0000	453.0000	41782
2007-11-21	448.0000	426.0000	425.0000	448.0000	15968
2007-11-22	430.0000	442.0000	428.0000	444.0000	28708
2007-11-23	444.0000	448.0000	442.0000	455.0000	16397
2007-11-26	449.0000	447.0000	435.0000	450.0000	11759
2007-11-27	435.0000	447.0000	422.0000	447.0000	74763
2007-11-28	426.0000	440.0000	426.0000	445.0000	1321
2007-11-29	445.0000	435.0000	430.0000	445.0000	27799
2007-11-30	440.0000	445.0000	432.0000	445.0000	18738
2007-12-03	448.0000	448.0000	442.0000	454.0000	10896
2007-12-04	445.0000	455.0000	441.0000	455.0000	8309
2007-12-05	455.0000	450.0000	450.0000	459.0000	14134
2007-12-06	452.0000	452.0000	452.0000	456.0000	25000
2007-12-07	457.0000	454.0000	448.0000	457.0000	13159
2007-12-10	448.0000	450.0000	444.0000	451.0000	9483
2007-12-11	448.0000	440.0000	440.0000	449.0000	24684
2007-12-12	440.0000	441.0000	439.0000	445.0000	8725
2007-12-13	448.0000	449.0000	441.0000	449.0000	5030
2007-12-14	446.0000	435.0000	434.0000	446.0000	11125
2007-12-17	435.0000	430.0000	427.0000	435.0000	14795
2007-12-18	428.0000	438.0000	426.0000	438.0000	4295
2007-12-19	431.0000	430.0000	428.0000	432.0000	10412
2007-12-20	430.0000	428.0000	427.0000	430.0000	40674
2007-12-21	428.0000	428.0000	418.0000	428.0000	75638
2007-12-27	421.0000	427.0000	420.0000	430.0000	61459
2007-12-28	426.0000	418.0000	417.0000	426.0000	26590
2008-01-02	429.0000	420.0000	420.0000	429.0000	900
2008-01-03	421.0000	420.0000	418.0000	421.0000	671
2008-01-04	417.0000	419.0000	407.0000	430.0000	15403
2008-01-07	414.0000	401.0000	400.0000	415.0000	6335
2008-01-08	413.0000	405.0000	395.0000	413.0000	4775
2008-01-09	404.0000	383.0000	370.0000	404.0000	46060
2008-01-10	390.0000	358.0000	357.0000	394.0000	51693
2008-01-11	368.0000	341.0000	336.0000	368.0000	129188
2008-01-14	348.0000	336.0000	330.0000	348.0000	67974
2008-01-15	336.0000	345.0000	336.0000	360.0000	85805
2008-01-16	340.0000	344.0000	323.0000	351.0000	175005
2008-01-17	345.0000	328.0000	320.0000	353.0000	139238
2008-01-18	325.0000	315.0000	300.0000	325.0000	84640
2008-01-21	313.0000	305.0000	296.0000	316.0000	22569
2008-01-22	290.0000	275.0000	261.0000	290.0000	149298
2008-01-23	285.0000	260.0000	248.0000	285.0000	492799
2008-01-24	272.0000	281.0000	268.0000	285.0000	79315
2008-01-25	294.0000	297.0000	290.0000	305.0000	85184
2008-01-28	294.0000	286.0000	282.0000	295.0000	17284
2008-01-29	302.0000	295.0000	295.0000	308.0000	122797
2008-01-30	299.0000	300.0000	292.0000	303.0000	21305
2008-01-31	300.0000	297.0000	290.0000	301.0000	61748
2008-02-01	297.0000	308.0000	297.0000	313.0000	28223
2008-02-04	312.0000	303.0000	303.0000	315.0000	18075
2008-02-05	301.0000	299.0000	292.0000	308.0000	11173
2008-02-06	290.0000	311.0000	285.0000	311.0000	18639
2008-02-07	308.0000	307.0000	302.0000	312.0000	13712
2008-02-08	299.0000	297.0000	288.0000	300.0000	49367
2008-02-11	274.0000	261.0000	260.0000	278.0000	128088
2008-02-12	261.0000	274.0000	261.0000	274.0000	19060
2008-02-13	274.0000	264.0000	260.0000	274.0000	171299
2008-02-14	263.0000	251.0000	246.0000	263.0000	12524
2008-02-15	253.0000	248.0000	246.0000	260.0000	56361
2008-02-18	257.0000	258.0000	252.0000	264.0000	40488
2008-02-19	264.0000	262.0000	256.0000	264.0000	6995
2008-02-20	260.0000	260.0000	260.0000	265.0000	18741
2008-02-21	260.0000	260.0000	258.0000	263.0000	45748
2008-02-22	259.0000	265.0000	255.0000	265.0000	9522
2008-02-25	260.0000	246.0000	246.0000	265.0000	76970
2008-02-26	249.0000	250.0000	249.0000	255.0000	7134
2008-02-27	250.0000	253.0000	247.0000	253.0000	8660
2008-02-28	251.0000	233.0000	230.0000	251.0000	62340
2008-02-29	232.0000	231.0000	225.0000	232.0000	41665
2008-03-03	229.0000	228.0000	216.0000	229.0000	26264
2008-03-04	220.0000	228.0000	220.0000	228.0000	7411
2008-03-05	223.0000	225.0000	220.0000	225.0000	79320
2008-03-06	220.0000	219.0000	212.0000	220.0000	2388
2008-03-07	212.0000	196.0000	187.0000	212.0000	62934
2008-03-10	190.0000	180.0000	180.0000	200.0000	7635
2008-03-11	178.0000	173.0000	170.0000	183.0000	33857
2008-03-12	174.0000	185.0000	174.0000	192.0000	14401
2008-03-13	182.0000	189.0000	178.0000	190.0000	4293
2008-03-14	181.0000	186.0000	179.0000	187.0000	12005
2008-03-17	181.0000	185.0000	175.0000	185.0000	7086
