Részvény: BUX

Dátum	Nyitó	Záró	Minimum	Maximum	Forgalom (db)
1991-01-02	0.0000	1000.0000	0.0000	0.0000	0
1991-01-03	0.0000	1001.0000	0.0000	0.0000	0
1991-01-04	0.0000	996.0000	0.0000	0.0000	0
1991-01-07	0.0000	997.0000	0.0000	0.0000	0
1991-01-08	0.0000	1001.0000	0.0000	0.0000	0
1991-01-09	0.0000	997.0000	0.0000	0.0000	0
1991-01-10	0.0000	1000.0000	0.0000	0.0000	0
1991-01-11	0.0000	1004.0000	0.0000	0.0000	0
1991-01-14	0.0000	990.0000	0.0000	0.0000	0
1991-01-15	0.0000	991.0000	0.0000	0.0000	0
1991-01-16	0.0000	990.0000	0.0000	0.0000	0
1991-01-17	0.0000	990.0000	0.0000	0.0000	0
1991-01-18	0.0000	996.0000	0.0000	0.0000	0
1991-01-21	0.0000	1014.0000	0.0000	0.0000	0
1991-01-22	0.0000	1025.0000	0.0000	0.0000	0
1991-01-23	0.0000	1032.0000	0.0000	0.0000	0
1991-01-24	0.0000	1056.0000	0.0000	0.0000	0
1991-01-25	0.0000	1056.0000	0.0000	0.0000	0
1991-01-28	0.0000	1056.0000	0.0000	0.0000	0
1991-01-29	0.0000	1058.0000	0.0000	0.0000	0
1991-01-30	0.0000	1063.0000	0.0000	0.0000	0
1991-01-31	0.0000	1068.0000	0.0000	0.0000	0
1991-02-01	0.0000	1072.0000	0.0000	0.0000	0
1991-02-04	0.0000	1078.0000	0.0000	0.0000	0
1991-02-05	0.0000	1107.0000	0.0000	0.0000	0
1991-02-06	0.0000	1120.0000	0.0000	0.0000	0
1991-02-07	0.0000	1100.0000	0.0000	0.0000	0
1991-02-08	0.0000	1082.0000	0.0000	0.0000	0
1991-02-11	0.0000	1067.0000	0.0000	0.0000	0
1991-02-12	0.0000	1065.0000	0.0000	0.0000	0
1991-02-13	0.0000	1059.0000	0.0000	0.0000	0
1991-02-14	0.0000	1054.0000	0.0000	0.0000	0
1991-02-15	0.0000	1050.0000	0.0000	0.0000	0
1991-02-18	0.0000	1048.0000	0.0000	0.0000	0
1991-02-19	0.0000	1056.0000	0.0000	0.0000	0
1991-02-20	0.0000	1031.0000	0.0000	0.0000	0
1991-02-21	0.0000	1022.0000	0.0000	0.0000	0
1991-02-22	0.0000	1047.0000	0.0000	0.0000	0
1991-02-25	0.0000	1043.0000	0.0000	0.0000	0
1991-02-26	0.0000	1053.0000	0.0000	0.0000	0
1991-02-27	0.0000	1078.0000	0.0000	0.0000	0
1991-02-28	0.0000	1111.0000	0.0000	0.0000	0
1991-03-01	0.0000	1103.0000	0.0000	0.0000	0
1991-03-04	0.0000	1097.0000	0.0000	0.0000	0
