Részvény: BUX0912

Dátum	Nyitó	Záró	Minimum	Maximum	Forgalom (db)
2007-12-21	0.0000	28781.0000	0.0000	0.0000	0
2007-12-27	0.0000	28921.0000	0.0000	0.0000	0
2007-12-28	0.0000	29073.0000	0.0000	0.0000	0
2008-01-02	0.0000	28440.0000	0.0000	0.0000	0
2008-01-03	0.0000	28622.5000	0.0000	0.0000	0
2008-01-04	0.0000	28939.0000	0.0000	0.0000	0
2008-01-07	27220.0000	27195.0000	27194.0000	27220.0000	10
2008-01-08	0.0000	27692.5000	0.0000	0.0000	0
2008-01-09	0.0000	28026.5000	0.0000	0.0000	0
2008-01-10	0.0000	28026.5000	0.0000	0.0000	0
2008-01-11	0.0000	28026.5000	0.0000	0.0000	0
2008-01-14	0.0000	28026.5000	0.0000	0.0000	0
2008-01-15	27194.0000	27194.0000	27194.0000	27194.0000	7
2008-01-16	27194.0000	27194.0000	27194.0000	27194.0000	3
2008-01-17	0.0000	27194.0000	0.0000	0.0000	0
2008-01-18	0.0000	27194.0000	0.0000	0.0000	0
2008-01-21	0.0000	27194.0000	0.0000	0.0000	0
2008-01-22	0.0000	27160.5000	0.0000	0.0000	0
2008-01-23	0.0000	27160.5000	0.0000	0.0000	0
2008-01-24	0.0000	26684.5000	0.0000	0.0000	0
2008-01-25	0.0000	26684.5000	0.0000	0.0000	0
2008-01-28	0.0000	26684.5000	0.0000	0.0000	0
2008-01-29	0.0000	26684.5000	0.0000	0.0000	0
2008-01-30	0.0000	26684.5000	0.0000	0.0000	0
2008-01-31	0.0000	26684.5000	0.0000	0.0000	0
2008-02-01	0.0000	26684.5000	0.0000	0.0000	0
2008-02-04	0.0000	26684.5000	0.0000	0.0000	0
2008-02-05	0.0000	26684.5000	0.0000	0.0000	0
2008-02-06	0.0000	26684.5000	0.0000	0.0000	0
2008-02-07	0.0000	26684.5000	0.0000	0.0000	0
2008-02-08	0.0000	26504.0000	0.0000	0.0000	0
2008-02-11	0.0000	26442.0000	0.0000	0.0000	0
2008-02-12	0.0000	26442.0000	0.0000	0.0000	0
2008-02-13	0.0000	26442.0000	0.0000	0.0000	0
2008-02-14	0.0000	26442.0000	0.0000	0.0000	0
2008-02-15	0.0000	26442.0000	0.0000	0.0000	0
2008-02-18	0.0000	26442.0000	0.0000	0.0000	0
2008-02-19	0.0000	26442.0000	0.0000	0.0000	0
2008-02-20	0.0000	26442.0000	0.0000	0.0000	0
2008-02-21	0.0000	26442.0000	0.0000	0.0000	0
2008-02-22	0.0000	26442.0000	0.0000	0.0000	0
2008-02-25	0.0000	26442.0000	0.0000	0.0000	0
2008-02-26	0.0000	26442.0000	0.0000	0.0000	0
